Run,Event,Lumi,pt,phi,eta,Q,MET,phiMET,Mt
283830,28246124,15,26.081926,-2.2387695,1.9836426,1,41.130352,0.5299072,64.370575
283830,28832584,15,25.1791,0.6225586,0.9764404,-1,17.666527,-2.2700195,41.855324
283830,27953541,15,33.776405,1.0793457,-1.9396973,1,16.113462,-2.569336,45.16684
283830,28011942,15,40.44599,0.7664795,-0.5831299,1,39.285496,-2.6987305,78.681656
283830,29338909,15,34.52069,0.24389648,1.0986328,-1,67.532845,-2.9379883,96.54707
283830,28123488,15,33.847473,2.8388672,-1.4335938,1,40.789707,-1.020752,69.57568
283830,27489258,15,35.399075,-2.1479492,1.1699219,1,56.01884,1.0864258,88.96629
283830,28417370,15,38.190266,2.1425781,1.3103027,-1,44.936543,-0.86657715,82.67102
283830,27532478,15,56.807507,-2.479004,0.8652344,-1,38.24779,0.70739746,93.20239
283830,27517296,15,40.44684,0.41986084,1.3933105,-1,49.064022,-3.0966797,87.534
283830,28130491,15,33.01265,0.7520752,0.66308594,1,20.632826,3.1225586,48.36566
283830,28549922,15,34.241642,0.4189453,1.572998,-1,28.172972,-2.118164,59.30313
283830,27805789,15,59.558064,0.10574341,-0.19491577,-1,44.08714,-3.1201172,102.39308
283830,29059755,15,43.964592,-2.4311523,1.1157227,1,49.148785,0.22235107,90.21414
283830,27672636,15,30.53225,1.4887695,-0.5279541,1,29.47399,-1.3625488,59.366104
283830,28970987,15,27.367678,1.1794434,-2.3544922,1,29.627455,3.1220703,47.01975
283830,27810464,15,107.643295,0.7121582,-1.4016113,-1,37.262497,-2.119629,125.14919
283830,27580951,15,37.9905,-0.35327148,0.28234863,-1,41.436474,3.083496,78.489525
283830,29222695,15,29.01835,1.5429688,0.8741455,-1,29.8511,-1.2915039,58.170902
283830,28725445,15,91.687546,2.900879,-1.2978516,1,51.94892,-1.4372559,114.05564
283830,28084674,15,30.50255,-1.8586426,1.1633301,1,22.345678,0.8914795,51.2179
283830,28399829,15,38.514446,-0.056617737,-2.2368164,-1,43.73964,2.727539,80.780495
283830,28760487,15,32.871292,-2.8569336,-0.7939453,1,20.03029,1.6193848,40.3092
283830,29123152,15,35.96757,2.209961,2.2270508,1,51.344685,-0.7105713,85.42304
283830,28876697,15,28.628904,-1.9072266,-0.8039551,1,51.823135,1.9445801,72.229744
283830,29123146,15,39.123787,0.89367676,-0.4119873,-1,64.23049,2.6176758,76.11078
283830,28208483,15,34.642284,1.0524902,0.17041016,1,55.47559,-1.6977539,86.003555
283830,28126141,15,55.614773,0.62402344,-0.8413086,-1,16.369246,2.1450195,41.594563
283830,27703323,15,38.577606,2.8984375,0.04601288,1,47.34543,-0.10437012,85.26881
283830,28940943,15,45.73398,-1.8146973,0.9916992,-1,52.18998,1.644043,96.48498
283830,28674049,15,28.220963,2.4692383,2.1704102,1,25.157827,-0.6435547,53.285305
283830,29019782,15,25.52621,2.2714844,2.2583008,1,23.766386,-1.4868164,46.93774
283830,29358498,15,30.77729,-0.6455078,0.6425781,-1,26.698769,1.8117676,54.00783
283830,28706170,15,35.212692,1.8769531,0.7180176,1,40.648617,-0.6549072,72.17712
283830,28326450,15,27.657589,-2.864746,1.7294922,1,39.187336,-1.1862793,48.99588
283830,28108617,15,29.331953,1.7072754,1.9650879,1,25.582354,-1.769043,54.020645
283830,27663615,15,36.356567,1.7553711,1.6689453,-1,16.703087,-2.09375,46.23358
283830,28849689,15,31.823133,0.10783386,0.5703125,1,46.49831,3.1347656,76.80791
283830,29244477,15,48.498302,-0.8156738,0.61083984,-1,24.106138,2.7373047,66.94284
283830,27996931,15,36.917393,1.4863281,2.0610352,-1,45.358284,-1.536377,81.69699
283830,28177385,15,40.234833,0.76538086,1.5874023,1,52.244484,-2.0166016,90.21792
283830,29291196,15,35.078312,-0.08810425,0.94677734,-1,18.39786,1.7312012,40.102356
283830,28688509,15,27.07579,-2.4282227,0.5300293,1,21.217222,-0.021896362,44.73326
283830,28975836,15,76.20563,1.0212402,-0.83447266,1,57.296413,-1.5170898,126.189674
283830,28505718,15,48.78607,1.498291,-0.35131836,1,50.652523,-1.6867676,99.3976
283830,28363972,15,33.19195,-1.0532227,1.2219238,-1,34.972393,1.9970703,68.0701
283830,28576381,15,27.554989,-2.53125,-1.4382324,-1,45.621773,-0.25152588,64.428406
283830,27712522,15,29.457735,0.5578613,-0.023643494,1,35.725655,-1.1345215,48.580635
283830,29144028,15,51.206562,-1.3059082,-0.52368164,-1,22.990265,-2.6611328,43.02165
